Cote;Piece;Intitule;Support;Dimensions_largeur_hauteur);Precision_vue;Observations;Nom_image;Localite;Code_postal;Code_INSEE;Latitude;Longitude
93AJ/316;Carnet n°6;Baville;Papier;35,5 x 11 cm;fol. 44v-45r;;FRAN126_0103_L.jpg;;;;;
93AJ/316;Carnet n°6;;;;;;FRAN126_0104_L.jpg;;;;;
93AJ/316;Carnet n°6;Dourdan;Papier;35,5 x 11 cm;fol. 45v-46r;;FRAN126_0105_L.jpg;Dourdan;91410;91200;48.533333;2.016667
93AJ/316;Carnet n°6;[Esquisse];Papier;35,5 x 11 cm;fol. 46v-47r;;FRAN126_0106_L.jpg;;;;;
93AJ/316;Carnet n°6;[Blanc.];Papier;35,5 x 11 cm;fol. 47v-48r;Ne pas numériser des fol. 48v à 58r [blancs].;FRAN126_0107_L.jpg;;;;;
93AJ/316;Carnet n°6;[Esquisse];Papier;35,5 x 11 cm;fol. 58v-59r;;FRAN126_0108_L.jpg;;;;;
93AJ/316;Carnet n°6;[Blanc.];Papier;35,5 x 11 cm;fol. 59v-60r;;FRAN126_0109_L.jpg;;;;;
93AJ/316;Carnet n°6;[Notes épigraphiques];Papier;35,5 x 11 cm;fol. 60v-61r;;FRAN126_0110_L.jpg;;;;;
93AJ/316;Carnet n°6;[Notes épigraphiques];Papier;35,5 x 11 cm;fol. 61v-contre-plat inf.;;FRAN126_0111_L.jpg;;;;;
93AJ/316;Carnet n°6;Second plat.;Papier;17 x 11 cm;Second plat;;FRAN126_0112_L.jpg;;;;;
93AJ/316;Carnet n°7;Premier plat.;Papier;15 x 9,5 cm;Premier plat;;FRAN126_0113_L.jpg;;;;;
93AJ/316;Carnet n°7;[Garde couleur];Papier;30,5 x 9,5 cm;Contre-plat sup.-fol. 1r;;FRAN126_0114_L.jpg;;;;;
93AJ/316;Carnet n°7;[Esquisse];Papier;30,5 x 9,5 cm;fol. 1v-2r;;FRAN126_0115_L.jpg;;;;;
93AJ/316;Carnet n°7;A localiser;Papier;30,5 x 9,5 cm;fol. 2v-3r;;FRAN126_0116_L.jpg;;;;;
93AJ/316;Carnet n°7;A localiser;Papier;30,5 x 9,5 cm;fol. 3v-4r;;FRAN126_0117_L.jpg;;;;;
93AJ/316;Carnet n°7;Gouvernes;Papier;30,5 x 9,5 cm;fol. 4v-5r;;FRAN126_0118_L.jpg;Gouvernes;77400;77209;48.866667;44379
93AJ/316;Carnet n°7;Lagny-sur-Marne;Papier;30,5 x 9,5 cm;fol. 5v-6r;;FRAN126_0119_L.jpg;Lagny-sur-Marne;77400;77243;48.866667;2.716667
93AJ/316;Carnet n°7;;;;;;FRAN126_0120_L.jpg;;;;;
93AJ/316;Carnet n°7;[Esquisse];Papier;30,5 x 9,5 cm;fol. 6v-7r;;FRAN126_0121_L.jpg;;;;;
93AJ/316;Carnet n°7;Enghien-les-Bains;Papier;30,5 x 9,5 cm;fol. 7v-8r;;FRAN126_0122_L.jpg;Enghien-les-Bains;95880;95210;48.966667;2.316667
93AJ/316;Carnet n°7;[Blanc.];Papier;30,5 x 9,5 cm;fol. 8v-9r;;FRAN126_0123_L.jpg;;;;;
93AJ/316;Carnet n°7;[Blanc.];Papier;30,5 x 9,5 cm;fol. 9v-10r;;FRAN126_0124_L.jpg;;;;;
93AJ/316;Carnet n°7;Léry;Papier;30,5 x 9,5 cm;fol. 10v-11r;;FRAN126_0125_L.jpg;Léry;21440;21345;47.566667;4.833333
93AJ/316;Carnet n°7;Léry;Papier;30,5 x 9,5 cm;fol. 10v-11r;;FRAN126_0125_L.jpg;Léry;27690;27365;49.283333;1.216667
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 11v-12r;;FRAN126_0126_L.jpg;Bagneux;2290.;2043.;49.466667;3.283333
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 11v-12r;;FRAN126_0126_L.jpg;Bagneux;3460.;3015.;46.65;44230
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 11v-12r;;FRAN126_0126_L.jpg;Bagneux;36210;36011;47.183333;1.75
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 11v-12r;;FRAN126_0126_L.jpg;Bagneux;49400;49016;47.25;-0.083333
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 11v-12r;;FRAN126_0126_L.jpg;Bagneux;51260;51032;48.566667;3.833333
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 11v-12r;;FRAN126_0126_L.jpg;Bagneux;54170;54041;48.55;5.883333
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 11v-12r;;FRAN126_0126_L.jpg;Bagneux;79290;79026;47.083333;-0.216667
