Nom Société,Date_Creation,Ville,Presence_Quicherat,Id_CTHS
"Société des études littéraires, scientifiques et artistiques du Lot (SEL-Société des études du Lot)",1872-01-01T01:00:00Z,Cahors,true,https://cths.fr/an/societe.php?id=1618
Société des excursions artistiques de Loir-et-Cher,1879-01-01T01:00:00Z,Blois,true,https://cths.fr/an/societe.php?id=1845
"Société des lettres, sciences et arts de l'Aveyron",1836-01-01T01:00:00Z,Rodez,true,https://cths.fr/an/societe.php?id=277
"Société des lettres, sciences et arts des Alpes-Maritimes",1861-01-01T01:00:00Z,Nice,true,https://cths.fr/an/societe.php?id=3004
Société des sciences et arts de la commune de Grenoble,1796-01-01T01:00:00Z,Grenoble,true,https://cths.fr/an/societe.php?id=1581
Société des sciences et lettres de Loir-et-Cher (SSLLC),1832-01-01T01:00:00Z,Blois,true,https://cths.fr/an/societe.php?id=839
Société des sciences historiques et naturelles de l'Yonne (SSHNY),1847-01-01T01:00:00Z,Auxerre,true,https://cths.fr/an/societe.php?id=791
Société des sciences historiques et naturelles de Semur-en-Auxois (SSS),1842-01-01T01:00:00Z,Semur-en-Auxois,true,https://cths.fr/an/societe.php?id=1148
Société des sciences industrielles de Lyon,1862-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=2863
Société des sciences médicales de Gannat,1845-01-01T01:00:00Z,Gannat,true,https://cths.fr/an/societe.php?id=4448
Société des sciences médicales de Lyon,1861-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=100517
Société des sciences naturelles de Saône-et-Loire et Société mycologique de Chalon-sur-Saône (SSN SM),1875-01-01T01:00:00Z,Chalon-sur-Saône,true,https://cths.fr/an/societe.php?id=1504
"Société des sciences, lettres et arts de Bayonne (SSLA Bayonne)",1873-01-01T01:00:00Z,Bayonne,true,https://cths.fr/an/societe.php?id=1532
