Nom Société,Date_Creation,Ville,Id_CTHS
La Bruyère,1888-01-01T01:00:00Z,Sedan,https://cths.fr/an/societe.php?id=4433
La Diana. Société historique et archéologique du Forez (La Diana),1862-01-01T01:00:00Z,Montbrison,https://cths.fr/an/societe.php?id=620
La lyonnaise des beaux-arts (SLBA),1887-01-01T01:00:00Z,Lyon,https://cths.fr/an/societe.php?id=100063
La maison roumaine,1882-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=3382
La Physiophile,1888-01-01T01:00:00Z,Montceau-les-Mines,https://cths.fr/an/societe.php?id=1034
Le Félibrige,1854-01-01T01:00:00Z,Aix-en-Provence,https://cths.fr/an/societe.php?id=100054
Le vieux Montmartre (SHAVM),1886-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=1947
Les amis de la Commune de Paris (1871),1882-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=2761
Les amis des fleurs,1836-01-01T01:00:00Z,Rouen,https://cths.fr/an/societe.php?id=3709
Lugdunum Florentia,1888-01-01T01:00:00Z,Pierre-Bénite,https://cths.fr/an/societe.php?id=100163
"Météo et climat, Société française de la météorologie et du climat (SMF)",1852-01-01T01:00:00Z,Saint-Mandé,https://cths.fr/an/societe.php?id=2290
Oeuvre de l'aide aux missions d'Afrique,1888-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=4666
Photo-club de Paris,1888-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=2921
"Société académique d'archéologie, sciences et arts du département de l'Oise",1847-01-01T01:00:00Z,Beauvais,https://cths.fr/an/societe.php?id=1646
"Société académique d'histoire, d'archéologie, des arts et des lettres de Chauny (SAC)",1884-01-01T01:00:00Z,Chauny,https://cths.fr/an/societe.php?id=1140
Société académique de l'Aube,1798-01-01T01:00:00Z,Troyes,https://cths.fr/an/societe.php?id=1485
Société académique de l'Oise,1847-01-01T01:00:00Z,Beauvais,https://cths.fr/an/societe.php?id=5097
Société académique de Nantes et de la Loire-Atlantique (SANLA),1798-01-01T01:00:00Z,Nantes,https://cths.fr/an/societe.php?id=2524
Société académique de Saint-Quentin (SASQ),1825-01-01T01:00:00Z,Saint-Quentin,https://cths.fr/an/societe.php?id=48
Société académique des antiquaires de la Morinie (SAAM),1832-01-01T01:00:00Z,Clairmarais,https://cths.fr/an/societe.php?id=1279
